48, 90, 250
55, 90, 250
60, 90, 250
64, 90, 250
60, 90, 250
55, 90, 250
47, 90, 250
43, 90, 250
59, 90, 250
62, 90, 250
59, 90, 250
55, 90, 250
57, 90, 250
53, 90, 250
59, 90, 250
62, 90, 250
59, 90, 250
53, 90, 250
45, 90, 250
53, 90, 250
57, 90, 250
60, 90, 250
57, 90, 250
53, 90, 250
44, 90, 250
53, 90, 250
56, 90, 250
60, 90, 250
57, 90, 250
43, 90, 250
52, 90, 250
55, 90, 250
60, 90, 250
55, 90, 250
52, 90, 250
52, 90, 250
54, 90, 250
57, 90, 250
62, 90, 250
57, 90, 250
53, 90, 250
43, 90, 250
55, 90, 250
59, 90, 250
60, 90, 250
59, 90, 250
55, 90, 250
48, 90, 250
55, 90, 250
60, 90, 250
64, 90, 250
60, 90, 250
55, 90, 250
47, 90, 250
55, 90, 250
59, 90, 250
62, 90, 250
59, 90, 250
55, 90, 250
56, 90, 250
53, 90, 250
59, 90, 250
62, 90, 250
59, 90, 250
53, 90, 250
45, 90, 250
53, 90, 250
57, 90, 250
60, 90, 250
57, 90, 250
53, 90, 250
44, 90, 250
53, 90, 250
56, 90, 250
60, 90, 250
57, 90, 250
53, 90, 250
43, 90, 250
52, 90, 250
55, 90, 250
60, 90, 250
55, 90, 250
52, 90, 250
52, 90, 250
54, 90, 250
57, 90, 250
62, 90, 250
57, 90, 250
53, 90, 250
43, 90, 250
55, 90, 250
59, 90, 250
60, 90, 250
59, 90, 250
55, 90, 250
