0, 0, 250
67, 100, 250
72, 100, 250
74, 100, 250
76, 100, 250
77, 100, 250
79, 100, 500
74, 100, 500
0, 0, 500
0, 0, 250
70, 100, 250
74, 100, 250
76, 100, 250
77, 100, 250
79, 100, 250
0, 0, 500
0, 0, 250
68, 100, 250
72, 100, 250
79, 100, 250
77, 100, 250
76, 100, 250
76, 100, 500
72, 100, 500
67, 100, 500
76, 100, 250
74, 100, 250
84, 100, 250
76, 100, 250
74, 100, 250
72, 100, 250
72, 100, 500
71, 100, 250
72, 100, 250
74, 100, 500
0, 0, 250
67, 100, 250
72, 100, 250
74, 100, 250
76, 100, 250
77, 100, 250
79, 100, 500
86, 100, 500
0, 0, 500
0, 0, 250
70, 100, 250
74, 100, 250
76, 100, 250
77, 100, 250
79, 100, 250
77, 100, 500
84, 100, 500
0, 0, 500
0, 0, 250
68, 100, 250
72, 100, 250
79, 100, 250
77, 100, 250
76, 100, 250
76, 100, 500
72, 100, 500
67, 100, 500
76, 100, 250
74, 100, 250
81, 100, 250
76, 100, 250
74, 100, 250
72, 100, 250
72, 100, 500
71, 100, 500
0, 0, 500
